type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,npm,11.7.0,,,,,,,,,,,,,,,,,
application,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-npm,3.0.0,,,Create CycloneDX Software Bill of Materials (SBOM) from NPM projects.,git+https://github.com/CycloneDX/cyclonedx-node-npm.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-npm#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-npm/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-library,8.3.0,,,Core functionality of CycloneDX for JavaScript (Node.js or WebBrowser).,git+https://github.com/CycloneDX/cyclonedx-javascript-library.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-javascript-library/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
application,ml-testing-toolkit-ui@16.7.4,Apache-2.0,,Vijaya Kumar Guthi,ml-testing-toolkit-ui,16.7.4,pkg:npm/ml-testing-toolkit-ui@16.7.4?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fvijayg10%2Fml-testing-toolkit-ui.git,,Mojaloop Testing Toolkit Web User Interface,git+https://github.com/vijayg10/ml-testing-toolkit-ui.git,"as detected from PackageJson property ""repository.url""",https://localhost:6060/,"as detected from PackageJson property ""homepage""",https://github.com/vijayg10/ml-testing-toolkit-ui/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registory,2022-07-21T10:58:20.602Z
library,@ant-design/colors@8.0.1,MIT,@ant-design,afc163,colors,8.0.1,pkg:npm/%40ant-design/colors@8.0.1,node_modules/@ant-design/colors,Color palettes calculator of Ant Design,git+https://github.com/ant-design/ant-design-colors.git,"as detected from PackageJson property ""repository.url""",https://github.com/ant-design/ant-design-colors#readme,"as detected from PackageJson property ""homepage""",https://github.com/ant-design/ant-design-colors/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@ant-design/colors/-/colors-8.0.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,7e83d5974f92588b25194b43ff106bd69f54e002b33e135812c797611468e504b318009866b41b7b5d406096d87c05a7592a46071e898c19927ae814b03f6fa9,afc163@gmail.com,active,Active in npm registory,2026-01-05T11:46:11.858Z
library,@ant-design/fast-color@3.0.1,MIT,@ant-design,Guo Yunhe,fast-color,3.0.1,pkg:npm/%40ant-design/fast-color@3.0.1,node_modules/@ant-design/fast-color,fast and small color class,git+https://github.com/ant-design/fast-color.git,"as detected from PackageJson property ""repository.url""",https://github.com/ant-design/fast-color,"as detected from PackageJson property ""homepage""",https://github.com/ant-design/fast-color/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@ant-design/fast-color/-/fast-color-3.0.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,7ac2897a0a56e27724874a3a915dd391becd3c86586cf9e71719900d498bd3cba45d902f57ce53641afbd1e1ae91efc2200acb68fe9ac3c96df4a20b8e75ae3b,i@guoyunhe.me,active,Active in npm registory,2026-01-26T03:48:15.214Z
library,@ant-design/icons@6.1.0,MIT,@ant-design,,icons,6.1.0,pkg:npm/%40ant-design/icons@6.1.0#master,node_modules/@ant-design/icons,,git+https://github.com/ant-design/ant-design-icons.git#master,"as detected from PackageJson property ""repository.url""",https://github.com/ant-design/ant-design-icons/tree/master#readme,"as detected from PackageJson property ""homepage""",https://github.com/ant-design/ant-design-icons/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@ant-design/icons/-/icons-6.1.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,2ab58cbb57c8837c3fd45db37e7f8995f34353c743a882df0394e0f398aab3595ff28a321a56e403e4e4c1f38a2a0aa9526022458d4f4c5a6e394d8300881252,,active,Active in npm registory,2025-11-05T03:24:40.172Z
library,@ant-design/icons-svg@4.4.2,MIT,@ant-design,,icons-svg,4.4.2,pkg:npm/%40ant-design/icons-svg@4.4.2,node_modules/@ant-design/icons-svg,Abstract nodes for ant design icons.,git+https://github.com/ant-design/ant-design-icons.git,"as detected from PackageJson property ""repository.url""",https://github.com/ant-design/ant-design-icons/,"as detected from PackageJson property ""homepage""",https://github.com/ant-design/ant-design-icons/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@ant-design/icons-svg/-/icons-svg-4.4.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,bc76d3fb3244573965c0ff8233eba5eeb79311f051d2f83115eefe951100b0003b606b18a5ba22ab6b1035e41e46f874f467d082cfc6c8512f66927d70b5e95c,,active,Active in npm registory,2025-11-05T03:24:40.342Z
library,@rc-component/util@1.9.0,MIT,@rc-component,,util,1.9.0,pkg:npm/%40rc-component/util@1.9.0,node_modules/@rc-component/util,Common Utils For React Component,git+ssh://git@github.com/react-component/util.git,"as detected from PackageJson property ""repository.url""",http://github.com/react-component/util,"as detected from PackageJson property ""homepage""",http://github.com/react-component/util/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@rc-component/util/-/util-1.9.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,e6e5ba01f8488a0096784403b614e8ce5c624f83eb9fac5841678ed31a248dc69ad7ce8eb703d11c1649da8d13d0585b8c6859def5dd6e4bf4b31de00185bb56,,active,Active in npm registory,2026-02-06T07:49:26.833Z
library,is-mobile@5.0.0,MIT,,Julian Gruber,is-mobile,5.0.0,pkg:npm/is-mobile@5.0.0,node_modules/is-mobile,Check if mobile browser.,git://github.com/juliangruber/is-mobile.git,"as detected from PackageJson property ""repository.url""",https://github.com/juliangruber/is-mobile,"as detected from PackageJson property ""homepage""",https://github.com/juliangruber/is-mobile/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/is-mobile/-/is-mobile-5.0.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,4f3ff29ddc92bcb0045e1f9493c962142c4ec151fa62eb6e47be2eb6f39cbbb23d0e2f83c0cd26b5d3d564d695bef054336397c677bf3613acd7300eeeb8aeb1,julian@juliangruber.com,active,Active in npm registory,2024-10-16T11:29:37.457Z
